,university_name,professor_name,ave_if,num_of_pub,overall_impact,impact_level,Community Contribution
178,Shanghai Jiao Tong University,Aili Zhang,3.313043478260869,2.3,10.28044124107472,1,Tier 5
179,University of Pittsburgh,Weber D John,8.483333333333333,1.8,26.060375556387676,2,Tier 4
180,Northwestern University,Hao Zhang,5.631182795698925,18.6,161.34758741383575,5,Tier 1
181,McGill University,Dan Nicolau,6.085000000000001,2.0,19.114182305715733,2,Tier 4
182,University of California Los Angeles,Anne Andrews,10.403030303030304,3.3,61.65435650373557,4,Tier 2
183,Columbia University,Treena Arinzeh,6.550000000000001,0.2,2.095712098890535,0,Tier 6
184,Georgia Institute of Technology,Shuichi Takayama,6.806382978723405,4.7,51.67057989430447,3,Tier 3
185,Tsinghua University,Huang Guoliang,4.662962962962963,2.7,18.500830386204882,2,Tier 4
186,University of Toronto,Edmond Young,5.499999999999999,2.8,23.583670214787645,2,Tier 4
187,Carnegie Mellon University,Howie Choset,9.790000000000001,1.0,17.317227593770205,2,Tier 4
188,University of Sydney,Shaikh Faisal,6.3,0.4,3.9924149956518775,0,Tier 6
189,Tsinghua University,Guo Yong,5.502173913043478,4.6,38.76374460229787,3,Tier 3
190,Columbia University,Yasmine El-shamayleh,7.400000000000001,0.3,3.6615157313673197,0,Tier 6
191,Columbia University,Binsheng Zhao,4.0636363636363635,7.7,44.425699292559,3,Tier 3
192,Georgia Institute of Technology,Lewis Wheaton,2.33,2.0,5.757380028303073,0,Tier 6
193,Imperial College London,Firat Güder,19.514285714285716,2.1,86.13112482466506,4,Tier 2
194,University of California San Diego,Jeff Hasty,10.77818181818182,5.5,107.40996407836708,4,Tier 2
195,University College London,Emily Kostas,6.199999999999999,0.4,3.913358212263985,0,Tier 6
196,University of California Berkeley,Seung-Wuk Lee,7.824390243902438,4.1,53.653367514652174,3,Tier 3
197,University of Pittsburgh,Ding Dan,2.593548387096775,3.1,10.203041132688218,1,Tier 5
198,University of Pennsylvania,Arjun Raj,14.856338028169016,7.1,207.08472433783854,5,Tier 1
199,National University of Singapore,Jin Yueming,12.049999999999999,0.4,8.98036109963844,1,Tier 5
200,University of California Los Angeles,Wentai Liu,5.574999999999999,2.0,17.133105349287746,2,Tier 4
201,Stanford University,Drew Endy,12.183333333333334,1.8,40.971339546411095,3,Tier 3
202,University of California San Diego,Shadi Dayeh,9.504347826086958,4.6,76.76455446880888,4,Tier 2
203,University of Tokyo,Etsuko Kobayashi,3.19,6.0,25.579355880004815,2,Tier 4
204,University of British Columbia,Peterzandstra,6.157458563535913,18.1,175.56197074261337,5,Tier 1
205,Johns Hopkins University,Pedro Irazoqui,6.233333333333333,0.6,5.909512969915302,0,Tier 6
206,Johns Hopkins University,Elizabeth Logsdon,3.1571428571428575,0.7,2.9458852919349683,0,Tier 6
207,Johns Hopkins University,Jean Fan,9.772222222222222,1.8,31.100270976292695,2,Tier 4
208,University of California San Diego,Ester Kwon,10.935294117647059,1.7,33.80547222056001,3,Tier 3
209,Shanghai Jiao Tong University,Yiping Du,4.6891304347826095,4.6,31.74119136831876,2,Tier 4
210,Carnegie Mellon University,Rosalyn Abbott,6.888235294117646,1.7,18.970723250719768,2,Tier 4
211,University of British Columbia,Babakshadgan,6.157458563535913,18.1,175.56197074261337,5,Tier 1
212,University of Pittsburgh,Waters Jonathan,4.199999999999999,5.7,34.27176479847375,3,Tier 3
213,University of Pittsburgh,Justin S Weinbaum,4.733333333333333,1.8,12.566992826670393,1,Tier 5
214,University of Washington,Michalakis A Averkiou,3.5904761904761906,2.1,10.379091930939667,1,Tier 5
215,Shanghai Jiao Tong University,Kun Qian,7.9947368421052625,13.3,178.79561239702852,5,Tier 1
216,University of California San Diego,Huilin Zhou,13.306451612903226,3.1,78.78427042978208,4,Tier 2
217,University of Cambridge,Alexandre Kabla,10.15,2.4,43.48042640873937,3,Tier 3
218,University of Oxford,Bulte Daniel,3.6266666666666665,3.0,15.014324763342529,1,Tier 5
219,University of Michigan,Andrew Putnam,6.610204081632652,4.9,51.9355416080169,3,Tier 3
220,University of Pittsburgh,Moyer Brian,3.1,0.2,0.8226822230741178,0,Tier 6
221,Cornell University,David Christini,4.604,2.5,16.860061418984216,1,Tier 5
222,Rice University,Joel Moake,9.673333333333336,1.5,25.58947941311849,2,Tier 4
223,Johns Hopkins University,Leslie Tung,6.456,2.5,25.727311851765556,2,Tier 4
224,University of Michigan,Omolola Eniola-adefeso,11.171052631578945,3.8,77.60705781391522,4,Tier 2
225,Massachusetts Institute of Technology,Jessica Stark,9.033333333333333,0.3,4.698197829706796,0,Tier 6
226,Imperial College London,Benjamin D Almquist,6.123076923076923,1.3,12.521475168653899,1,Tier 5
227,University of British Columbia,Ayazdamji,6.157458563535913,18.1,175.56197074261337,5,Tier 1
228,University of Pittsburgh,Byrne Leah,8.685714285714285,1.4,20.875407395889148,2,Tier 4
229,University of Pennsylvania,Brit Shields,3.2,0.1,0.42799379518491015,0,Tier 6
230,University of Toronto,Tom Chau,3.21551724137931,5.8,24.974197783156203,2,Tier 4
231,Northwestern University,Jonathan Rivnay,12.110714285714286,5.6,126.51739029876664,5,Tier 1
232,University of California San Diego,"""max"" Y Qian",22.6,0.5,24.638005808361697,2,Tier 4
233,University of Pittsburgh,Sparto Patrick,2.9921875,6.4,25.186393215924582,2,Tier 4
234,University of British Columbia,Kenichitakahata,6.157458563535913,18.1,175.56197074261337,5,Tier 1
235,Shanghai Jiao Tong University,Jinye Wang,7.963333333333334,3.0,40.1319140550765,3,Tier 3
236,University of Pittsburgh,Almarza Alejandro,3.3960000000000004,2.5,11.525230255121315,1,Tier 5
237,Georgia Institute of Technology,Christopher Rozell,6.579166666666667,2.4,25.288603785585963,2,Tier 4
238,University of Washington,Lara Gamble,3.4588235294117644,1.7,8.018800840967225,1,Tier 5
239,University of Michigan,Somin Lee,5.04,0.5,3.7757929817962137,0,Tier 6
240,Duke University,Emma J Chory,14.3,0.1,2.780801870086809,0,Tier 6
241,Duke University,Samira Musah,12.164285714285715,1.4,31.804333662243685,2,Tier 4
242,University of Toronto,Kei Masani,2.3921052631578945,7.6,22.609395480525826,2,Tier 4
243,Rice University,Omid Veiseh,13.839285714285712,2.8,74.73948925822454,4,Tier 2
244,Stanford University,Polly Fordyce,9.107894736842104,3.8,60.12513990803487,4,Tier 2
245,University of California San Francisco,Wendell Lim,17.80980392156863,5.1,186.59246357353544,5,Tier 1
246,Georgia Institute of Technology,Young-hui Chang,2.4050000000000002,2.0,5.98995895594028,0,Tier 6
247,Duke University,Christoph F Schmidt,7.385714285714286,0.7,8.522925041353842,1,Tier 5
248,University of Michigan,María Coronel,20.0,0.3,12.68845516128677,1,Tier 5
249,University of Cambridge,Shery Huang,2.2,0.1,0.26793432283879953,0,Tier 6
250,Northwestern University,Malcolm Maciver,6.8,1.5,16.471281895921564,1,Tier 5
251,Columbia University,José L Mcfaline-figueroa,10.244444444444445,0.9,16.495026741625612,1,Tier 5
252,University of California Berkeley,Moriel Vandsburger,5.526315789473683,1.9,16.098974912160458,1,Tier 5
253,University of Pittsburgh,Lotze Michael,7.9480392156862765,10.2,136.12101328707595,5,Tier 1
254,Johns Hopkins University,Jeff Bulte,9.124999999999998,9.2,145.90793759347022,5,Tier 1
255,University of California Los Angeles,Jacob Schmidt,4.764285714285713,1.4,9.854288742515378,1,Tier 5
256,Duke University,John W Hickey,6.766666666666666,0.3,3.274083368395608,0,Tier 6
257,Stanford University,Markus Covert,8.964102564102562,3.9,60.49202572796529,4,Tier 2
258,Johns Hopkins University,Vikram Chib,3.3799999999999994,1.5,6.874436970347274,0,Tier 6
259,University of Toronto,Paul Santerre,6.181538461538461,6.5,63.35546406169299,4,Tier 2
260,University of California Los Angeles,Lili Yang,8.760416666666666,4.8,72.34311264168298,4,Tier 2
261,University of California San Diego,Neal Devaraj,11.995774647887325,7.1,158.50527569881464,5,Tier 1
262,University of Oxford,Rittscher Jens,7.658974358974358,3.9,49.69101599135138,3,Tier 3
263,Cornell University,Steven Adie,6.916666666666667,1.8,20.190336773787845,2,Tier 4
264,University of Washington,Rupak Rajachar,5.86,1.5,13.676131848452428,1,Tier 5
265,Peking University,He Sun,4.893939393939394,3.3,24.02078374493364,2,Tier 4
266,University College London,Frank Baganz,3.7896551724137932,2.9,15.333723087858367,1,Tier 5
267,Duke University,Angel V Peterchev,5.606666666666667,6.0,51.76451762263282,3,Tier 3
268,University of Sydney,Andre Kyme,3.6315789473684204,1.9,9.525174994413652,1,Tier 5
269,University of California San Diego,Nisarg Shah,9.525,1.6,26.773257383823132,2,Tier 4
270,University of Hong Kong,M Wang,7.1090909090909085,1.1,12.769099468380642,1,Tier 5
271,Peking University,Zigang Ge,8.036842105263158,1.9,25.710492511063567,2,Tier 4
272,Georgia Institute of Technology,Shella Keilholz,4.0375,6.4,36.62862728939756,3,Tier 3
273,Johns Hopkins University,Randal Burns,18.5875,0.8,30.875657442900998,2,Tier 4
274,McGill University,Walter Reisner,6.87,3.0,33.36700112939879,3,Tier 3
275,Georgia Institute of Technology,Jennifer Curtis,5.869999999999999,1.0,9.136873803218046,1,Tier 5
276,Duke University,Pranam Chatterjee,8.715384615384615,1.3,19.467112974646067,2,Tier 4
277,Columbia University,Nadeen Chahine,4.022222222222222,2.7,15.379646045710347,1,Tier 5
278,Harvard University,Patrick Slade,4.4,0.1,0.6372588061466729,0,Tier 6
279,University of British Columbia,Alykarsan,6.157458563535913,18.1,175.56197074261337,5,Tier 1
280,Cornell University,Jan Lammerding,9.94090909090909,6.6,116.5001711307191,4,Tier 2
281,Northwestern University,Shu Liu,4.7,0.7,4.844181005571512,0,Tier 6
282,Carnegie Mellon University,Matthew A Smith,3.8055555555555554,3.6,19.134850954227325,2,Tier 4
283,Shanghai Jiao Tong University,Ping Song,9.516363636363636,5.5,91.92877554120885,4,Tier 2
284,Duke University,Junjie Yao,6.30138888888889,7.2,71.88327411325089,4,Tier 2
